용어,설명
"개인자산통합관리서비스 (個人資産統合管理 -, PFMSS: Personal Finance Management Software Service)","증권사/은행/신용카드사/보험사 등 각 금융기관에 분산되어 있는 개인의 모든 금융자산을 모아 한 군데서 관리하고 온라인 서비스 해주는 시스템을 말한다. 이 서비스는 개인이 여러 가지 계정을 일일이 확인해야 하는 불편을 덜어주기 위해서 고안되어 미국 등 선진국에서 커다란 시장을 형성하고 있다. 미국의 요들리(yodlee.com)社, 퀵큰(quicken.com)社 등은 개인의 은행/증권/보험/신탁 등의 모든 계좌와 부동산이나 동산 등 각종 자산을 한눈에 파악할 수 있게 해주는 대표적인 기업이다. 국내에서도 핑거/소프트그램 등이 이와 비슷한 시스템을 개발하여 제일/한빛 등 일부 은행들과 제휴를 추진하였다. "
개인처분가능소득,"개인이 임의로 소비와 저축으로 처분할 수 있는 소득을 말한다.
· PDI = 개인소득(PI) - 개인소득세"
갱생,"기업이 도산처리 과정을 거쳐 마지막에 처하게 되는 결과는 갱생과 청산이다. 갱생은 도산기업이 경영합리화 등의 자구책과 채권자로부터 받은 채무탕감 등을 통하여 정상화되는 것이고, 청산은 기업을 소멸시키는 것이다. 도산기업을 갱생 시키기 위해서는 먼저 기업과 채권자의 합의가 이루어져야 한다. 대부분의 국가에서 청산과 갱생절차를 인정하고 있는데, 2000년 1월에 개정된 회사정리법에서는 정리계획안의 인가요건으로 도산기업이 경제적으로 가치가 있어야 할 것을 명시하고 있다. 경제적으로 가치가 있다는 것은 기업의 계속가치가 청산가치보다 크다는 뜻이다. 이러한 기업에 대해서는 사회 전체적으로 보든 기업소유주의 관점에서 보든 갱생을 시도하여야 한다. "
거래외증감표,"거래외증감표는 가격 또는 환율의 변동과 대손상각, 재평가 등 거래이외의 요인에 의해 발생하는 금융자산 및 부채잔액의 변동을 기록한 표이다. 증권시장에서 가격이 변동하는 주식?채권 등 유가증권, 대손상각이나 재평가 대상이 되는 금융기관의 예금?대출금 그리고 환율변동의 영향을 받는 외화관련 금융자산 등 거의 모든 금융자산이 거래 이외의 요인으로 변동한다. 이러한 거래외증감표는 금융자산 및 부채잔액의 변동액과 기간 중 실제 거래금액과의 차액으로 나타나며 금융거래표 및 금융자산부채잔액표와 동일한 부문분류기준에 의거 금융자산형태별로 작성된다."
거래종료 (closing),"한국자산관리공사는 본 계약에 따라 특정 채권관계에 관하여 관계되는 종료서류의 기일 내 인도, 채권관계의 매매 및 그에 대한 매수대금의 지급 등 본 계약서에 의한 모든 절차를 거래종료(closing)라고 한다. "
거주성,주된 경제적 이익의 중심이 어디에 있는지에 따라 경제주체를 거주자와 비거주자로 구분하는 기준을 의미한다. 통상적으로 경제주체가 1년 이상 어떤 국가에서 경제활동 및 거래를 수행하거나 그러한 의도가 있을 경우 주된 경제적 이익의 중심이 그 국가에 있다고 본다.
거주자/비거주자,"국제수지표에서 거주자와 비거주자는 국적이 아닌 경제적 이익의 중심(center of predominant economic interest)을 기준으로 구분한다. 거주자는 주된 경제적 이익의 중심이 국민경제영역 내에 있는 경제주체를 의미한다. 국민경제영역 밖에 있는 여타 경제주체는 비거주자가 된다. 통상 경제주체가 어떤 나라에서 1년 이상 경제활동을 한 경우 이익의 중심이 그 국가에 있다고 본다. 외국인 이더라도 1년 이상 우리나라에서 생산활동에 참여하고 있으면 거주자로 보지만, 해외교포는 우리나라 국적이더라도 외국에서 경제활동을 수행하고 있으므로 비거주자로 분류한다. 
"
거처,사람이 살고 있는 모든 장소를 통칭하는 말로서 구조적으로 분리되고 독립된 하나의 거주단위를 말하며 주택과 주택이외의 거처로 구분된다.
건강평가,"응답자가 자신의 연령 수준을 감안하여 주관적으로 판단한 건강상태를 말하며, 주관적 건강상태 평가는 건강이 단순히 신체적으로 이상이 없는 상태를 의미하는 것이 아니라 정신적 및 사회적으로 안녕된 상태(Social Well-being State)라는 의미의 지표이다."
건물·구축물,"건물은 기업이 영업목적으로 토지에 건설한 건축물과 그것의 영속적 부속설비로서 건물과 냉난방, 전기, 통신 및 기타의 건물부속설비가 포함된다. 구축물은 토지에 부착된 토목설비 또는 공작물로서 교량, 안벽, 부교, 궤도, 저수지, 갱도, 굴뚝, 정원설비 등이 포함된다."
건설중인 자산,"건설중인 자산은 유형자산의 건설을 위해 재료비, 노무비 및 경비 등이 지출되었으나 건설이 완료되지 아니한 경우에 일시적으로 처리하기 위한 계정으로 건설이 완료되어 영업에 사용하게 된 때에는 해당 유형자산계정으로 대체 처리한다. 또한 건설자금으로 사용된 차입금에서 발생한 순금융비용은 건설중인 자산에 포함한다."
"건전재정 (健全財政, sound fiscal management)","건전재정은 세출(歲出)이 세입(歲入)의 범위 내에서 충당되고, 공채(公債)발행이나? 차입이 없는 재정상태를 말한다. 그러나 이처럼 재정수지가 항상 균형 또는 흑자를 기록하는 것이 언제나 바람직하다고 말하기는 어렵다. 재정의 경기안정화 기능을 살리기 위해서는 경기가 침체될 때 재정적자를 용인하는 것이 더 나을 수 있기 때문이다. 또 항상 재정균형을 유지하기 위해서는 세율을 자주 변화시켜야 하는데 이는 조세제도의 안정성을 저해하고 조세의 사중손실(deadweight loss)을 증가시킬 수도 있다. 따라서 현재에는 건전재정이 보다 덜 제약적인 의미로 사용된다. 즉 경기순환국면 전반에 걸쳐 재정수지가 평균적으로 균형 또는 흑자상태에 있거나, 국가채무/GDP 비율이 상승하지 않고 일정 수준에서 안정되어 있으면 재정이 비교적 건전한 것으로 판단한다. "
건축면적,"건축물 외벽의 중심선으로 둘러싸인 부분의 바닥면적으로 흔히 건평으로도 불리며, 일반적으로는 1층의 바닥면적을 건축면적이라고 한다. 넓은 의미로는 2층 이상도 포함한 바닥면적의 합계(연면적 또는 연건축면적)를 나타기도 한다."
건폐율,건축면적(대지에 둘 이상의 건축물이 있는 경우에는 이들 건축면적의 합계로 한다)의 대지면적에 대한 비율을 말한다. 건축밀도를 나타내는 지표의 하나로 시가지의 건축규제 및 토지이용 효과를 판정하는데 이용한다.
"결산 (決算, closing account)","일정한 기간동안 발생한 수입과 지출을 계산하여 재산상태를 서류로 작성하는 일을 결산이라 한다. 결산은 1회계연도 내에 발생한 수입과 지출을 계산하여 재산상태를 알 수 있도록 서류로 작성하는 일로서 기업회계상의 결산과 정부회계상의 결산이 있다. 기업회계상의 결산은 기업이 한 회계기간의 손익을 산정하고, 기말의 재정상태를 명확하게 하는 회계적인 절차이다. 결산업무는 기말 전후(특히, 기말 후 1～2개월)에 집중적으로 하게 된다. 기업회계상의 결산내용은 각종 수익과 비용을 어느 기간에 귀속시키느냐를 결정하고, 그 결과로 재고조사나 저가격주의를 전제로 하는 시가조사 등이 행하여진다. 이렇게 파악한 정보는 손익계산서와 대차대조표에 기재한다. "
"결합재무제표 (結合財務諸表, combined financial statement)","정부가 30대 그룹 계열회사에 대해 의무적으로 작성하도록 한 재무제표로서, 30대 기업집단 소속의 모든 국내외 계열사들의 매출액과 손익, 자본금과 자산, 부채 및 내부거래 사정을 일목요연하게 작성하도록 되어 있다. 결합재무제표는 대기업집단의 오너는 물론 특수관계인에 의해 실질적인 지배권을 행사할 수 있는 기업들을 하나의 기업으로 보고 작성된다. 소속회사의 재무제표를 결합하여 기업집단 전체의 대차대조표, 손익계산서, 현금흐름표 등을 작성한다. 따라서 재무, 영업, 인사상의 경영권 행사, 상호지급보증 관계, 자금대차 관계, 담보제공 관계 등이 모두 포괄된다. 또한 계열사 상호간 매출거래와 대여, 투자거래 관계는 제거되기 때문에 해당 기업집단이 외부와 거래한 것만 기록돼 매출을 과대 포장할 수 없게 된다. 따라서 결합재무제표를 작성하게 되면 내부거래가 감소하고 서로 출자한 지분이 사라져 보통의 재무제표를 작성할 때보다 매출액은 줄어들고 부채비율은 늘어나는 경우가 일반적이다. 이에 따라 기업들은 단기적으로는 대외신인도가 떨어지고 자금조달 능력이 나빠질 수 있지만 장기적으로는 경영의 투명성이 높아질 수 있다. "
"겸업은행제도 (兼業銀行制度, universal banking system)","독일, 오스트리아, 스위스 등 서유럽제국에서 발전한 제도로서 은행이 고유업무인 예금과 대출업무 뿐만 아니라 은행주변업무, 신탁업무, 증권업무, 보험업무와 장기의 산업금융까지 참여하여 종합적인 금융 서비스를 제공하는 은행제도를 가리킨다. 일반 상업은행의 예대업무와 증권관계 업무는 본질적으로 차이가 있으나, 이것의 구분없이 일반은행의 기본업무 중에 증권업무가 포함되는 제도가 겸업은행제도로 전문은행제도와 대칭되는 개념이다. 1970년대 이후 금융혁신, 금융자유화, 은행업무의 전산화 등의 발달로 종합금융체제로의 이행이 급속히 진행되면서 전문은행제도를 근간으로 하는 미국, 일본 등의 나라들도 겸업은행제도로의 변천이 이루어지고 있다. 우리나라도 일반은행에 신탁, 팩토링, 증권 등 주변업무 취급을 허용함으로써 겸업은행제도를 허용하고 있다. "
"경과이자 (經過利子, accrued interest)",경과이자란 공채(公債)나 사채(社債)를 매매할 때 전회(前回)의 이자 지불일 다음날부터 매매되는 날까지의 경과일수의 이자를 말한다. 공사채의 경우 지정된 이자지불일부터 매매되는 날까지의 이자는 매수인이 매도인에게 지불하게 되지만 실제로는 판매가격에 포함되어 매매된다. 
경기,"경기란 나라경제의 전체적인 활동수준을 의미한다. 사람의 기분이 좋을 때도 있고 나쁠 때도 있는 것처럼 또 우리 몸의 활동상태에 따라 체온이 오르내리듯이 나라경제도 활동상태에 따라 경기가 오르내리는 변화를 겪는다.

경제학자들이 경제의 움직임을 연구한 결과 마치 파도와 같이 호황기→ 후퇴기→ 불황기 → 회복기 → 호황기가 반복되면서 끊임없이 변동한다는 것을 발견하였으며 경기가 이렇게 일정한 움직임을 되풀이하는 것을 경기의 순환이라고 한다.
호황기는 생산, 소비 등 경제활동이 활발하게 전개되고 있는 상태이고 후퇴기는 서서히 위축되어가는 상태이다. 후퇴기 다음엔 경제가 침체상태에 빠지는 불황기가 오고 그러다 다시 조금씩 활기를 되찾는 회복기를 맞게 된다.

경기순환은 한 나라의 경제에서뿐만 아니라 세계경제 전체에서도 나타난다. 특히 요즘과 같은 세계화 시대엔 글로벌 경제 또는 지구촌 경제라고 해서 각 나라의 경제가 긴밀히 연결되어 있기 때문에 선진국들이 불황에 빠지면 다른 나라의 경기도 함께 침체되는 예가 많다.

경기는 국민생활에 광범위하게 영향을 미친다. 따라서 정부는 물론 기업 및 가계도 경기 동향과 전망을 정확하게 파악해야만 투자, 생산, 소비, 저축 등의 경제행위를 합리적으로 결정하고 향후 경기변동에 대비할 수 있다.

경기를 판단하기 위한 방법으로는 생산, 투자, 고용, 수출 등 경제 각 부문의 동향을 잘 반영한다고 판단되는 여러가지 숫자(경제지표)들이 어떻게 움직이고 있는가를 분석하는 방법, 종합경기지표라는 숫자로 판단하는 방법, 기업가나 소비자들이 경기를 어떻게 판단하고 있는지, 어떻게 전망하고 있는지에 대한 설문조사에 의한 방법 등이 있다.
이러한 자료를 통하여 현재의 경기국면이 어디에 위치하고 있는가,  이후의 경기는 어떠할 것인가를 미리 예상하는 경기예측을 하게 된다."
